11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_ProgressBarSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_ProgressBarEmptySkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_ProgressBarFilledSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_TextBoxEmptySkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_EditBoxEmptySkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_Input1OutputLineSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_Input2OutputLineSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_FloatingPanelSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_GenericTextBoxSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_GenericTextBoxBorderlessSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_GenericTextBoxFlatSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_GenericInputBoxSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_SmallArrowUpSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_SmallArrowDownSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
